±â°£,1AM,2AM,3AM,4AM,5AM,6AM,7AM,8AM,9AM,10AM,11AM,12AM,1PM,2PM,3PM,4PM,5PM,6PM,7PM,8PM,9PM,10PM,11PM,12PM,Max,Min,Weighted Average
20200107,83.4,82.6,82.13,81.94,82.13,82.37,84.57,88.37,89.27,89.5,88.36,88.29,84.99,86.77,86.82,86.82,87.6,87.6,87.6,87.59,84.63,84.18,84.04,84.17,89.5,81.94,85.84
20200106,82.3,80.31,78.87,77.92,79,82.1,81.29,88.33,89.76,90.89,88.32,88,84.81,87.5,87.5,87.5,87.5,87.5,86.62,84.95,84.26,83.74,83.02,83.74,90.89,77.92,85.25
20200105,87.33,87.2,86.96,78.87,79.34,79.38,82.54,80.5,82.54,80.59,82.54,81.95,78.27,79.34,80.31,80.6,81.95,82.85,83.68,83.72,82.79,81.59,81.6,83.8,87.33,78.27,82.14
20200104,83.93,81.34,81.34,81.35,81.35,82.58,83.93,84.6,84.59,84.58,84.55,84.07,79.9,81.12,82.58,84.6,84.6,85.39,85.4,85.4,84.72,82.73,82.73,85.41,85.41,79.9,83.49
20200103,83,81.71,82.6,81.26,81.31,82.6,88.64,88.86,89.22,89.84,87.7,87.62,84.9,85.06,85.35,86.72,87.74,87.82,87.91,87.91,84.22,83.38,82.56,84.07,89.84,81.26,85.68
20200102,80.67,82.6,79.44,79.04,82.6,80.21,82.6,86.65,89.32,89.69,88,87.73,86.8,87.44,87.44,87.44,87.48,87.48,87.49,87.49,84.63,84.1,84.1,84.1,89.69,79.04,85.52
20200101,88.55,88.49,83.16,83.11,80.92,81.65,80.95,79.82,80.95,78.4,80.95,78.51,78.53,77.83,78.52,80.95,80.55,81.58,82,84.15,81.87,81.87,84.15,84.15,88.55,77.83,81.85
20191231,84.61,83.19,81.02,79.85,79.88,80.62,81.57,82.49,86.09,86.09,86.09,85.99,82.42,83.23,83.23,82.49,81.41,81.69,81.41,81.09,81.09,80.92,83.5,85.68,86.09,79.85,82.86
20191230,82.73,82.42,77.14,76.22,79.04,82.09,82.09,86.58,88.05,88.01,87.45,86.67,83.54,86.91,86.91,86.7,86.91,86.91,85.48,85.41,83.24,82.56,81.84,82.56,88.05,76.22,84.46
20191229,82.25,82.25,82.11,78.23,78.4,80.59,80.59,81.22,81.22,79.85,79.86,79.9,78.04,78.05,78.07,79.65,80.98,82.13,82.13,82.08,82.08,81.32,81.32,81.32,82.25,78.04,80.63
20191228,82.14,81.26,81.26,80.38,80.44,81.26,81.31,83.12,83.26,83.26,83.25,82.82,80.57,81.28,81.29,81.32,82.84,83.12,83.15,81.41,81.32,81.28,81.31,84.58,84.58,80.38,81.98
20191227,81.91,80.71,80.71,80.56,80.71,80.71,82.85,87.06,87.69,87.65,87.29,87.19,83.46,86.12,86.12,86.41,87.17,86.74,86.69,86.69,83.48,82.88,82.63,83.23,87.69,80.56,84.66
20191226,80.67,80.07,80.07,80.03,81.28,81.28,81.29,86.19,87.34,87.34,87.32,87.13,85.41,87.07,87.07,87.07,87.07,87.07,86.37,86.37,83.51,83.17,82.99,82.99,87.34,80.03,84.7
20191224,82.64,81.28,81.28,80.61,80.66,80.66,82.57,86.35,87.89,87.66,86.35,86.28,83.42,85.3,86.35,86.35,87.03,86.97,86.51,86.51,83.3,82.98,82.75,83.04,87.89,80.61,84.56
20191223,81.28,78.63,78.25,78.22,78.62,80.94,81.14,86.64,87.62,88.43,87.51,86.64,83.47,85.29,86.39,86.19,87.2,87.2,85.47,83.77,83.35,83.16,82.81,83.16,88.43,78.22,84.16
20191222,84.47,82.26,78.98,78.98,78.98,81.83,81.83,81.83,81.75,81.57,78.55,81.22,76.97,78.39,81.22,79.05,80.58,81.24,81.26,81.26,81.26,81.26,81.26,81.26,84.47,76.97,80.76
20191221,82.1,82.05,82.46,80.83,80.83,81.56,82.8,82.82,82.93,82.93,82.93,82.74,79.85,79.95,81.19,82.24,83.45,83.45,83.45,83.45,83.45,81.99,83.36,83.45,83.45,79.85,82.37
20191220,81.98,81.63,80.62,80.12,81.28,81.17,82.61,87.37,88.07,88.08,87.37,86.83,85.29,86.93,86.89,86.89,86.93,86.71,86.3,85.4,84.08,83.11,82.63,83.13,88.08,80.12,84.86
20191219,81.87,81.28,80.9,80.9,80.9,81.63,82.3,85.69,87.62,87.36,87.36,86.75,85.8,86.56,86.56,86.19,86.65,86.66,86.67,85.45,83.12,82.87,82.68,82.68,87.62,80.9,84.64
20191218,81.99,81.5,80.75,80.62,80.75,81.62,87.05,87.18,88.02,88.02,86.93,86.21,84.84,86.34,86.78,86.78,86.78,86.78,86.69,86.69,83.55,82.87,82.71,82.92,88.02,80.62,84.95
20191217,81.8,80.85,80.85,80.85,81.28,81.62,86.91,87.09,88.18,88.18,87.06,87.57,83.59,86.09,86.56,86.56,86.91,87.19,86.49,86.32,83.04,82.99,82.58,83.01,88.18,80.85,84.91
20191216,80.94,78.94,78.68,78.34,81.28,80.22,82.15,87.39,87.65,90.33,90.33,86.85,85.56,86.49,90.33,87.08,90.33,90.33,87.31,87.31,84.15,82.96,82.78,82.96,90.33,78.34,85.48
20191215,82.74,83.59,79.98,78.38,78.42,80.78,81.22,81.22,81.22,81.22,79.98,78.04,76.94,78.02,79.06,79.1,80.96,81.43,81.43,81.43,81.43,81.43,81.43,81.43,83.59,76.94,80.5
20191214,82.58,82.67,82.72,80.11,80.2,83.03,82.74,83.13,83.13,82.46,82.42,82.22,79.31,79.99,80.34,82.09,82.4,83.17,83.17,82.99,83.17,80.94,81,83.99,83.99,79.31,82.11
20191213,81.23,81.28,80.57,80.57,80.57,82.14,83.04,86.4,86.76,86.77,86.76,86.54,83.61,86.72,86.72,86.6,86.75,86.86,86.86,86.75,83.24,82.76,82.76,82.76,86.86,80.57,84.57
20191212,81.78,81.03,80.74,80.61,80.74,81.16,83.17,87.14,87.62,87.9,87.58,87.38,85.29,86.15,87,86.96,87,87.01,86.69,86.69,83.57,82.66,82.64,83.04,87.9,80.61,84.86
20191211,81.86,81.47,81.47,81.47,81.47,81.47,86.47,87.06,88.15,88.15,88.14,88.11,85.59,86.19,87.12,87.74,87.74,87.74,87.75,87.24,84.16,83.19,82.74,83.21,88.15,81.47,85.46
20191210,81.78,80.85,80.68,80.68,80.73,81.61,86.66,86.66,87.85,87.67,86.44,86.3,83.36,86.42,87.34,86.92,87.26,87.26,87.3,87.3,84.51,83.49,83.49,83.5,87.85,80.68,85.04
20191209,82.76,81.28,78.16,78.16,81.28,81.18,81.55,83.98,86.65,86.78,86.6,85.85,85.67,86.76,86.99,86.99,87.02,87.02,87.01,87.01,84.14,83.44,83.44,83.44,87.02,78.16,84.62
20191208,81.22,80.73,79.21,77.94,78.52,80.63,81.22,81.22,81.22,80.26,80.03,79.8,79.8,81.43,81.43,81.43,81.43,81.96,81.96,81.96,81.94,81.22,81.22,81.22,81.96,77.94,80.83
20191207,82.09,82.16,81.26,80.75,81.26,83.15,83.15,83.15,83.15,82.86,83.01,82.39,80.75,80.75,82.6,82.96,82.96,82.97,82.98,82.6,82.72,82.3,82.3,82.74,83.15,80.75,82.39
20191206,81.45,81.28,81.28,80.51,81.28,81.24,86.28,86.54,87.89,87.89,85.67,87.17,83.16,85.29,86.33,86.53,87.48,87.38,86.39,86.47,83.21,82.91,82.68,82.69,87.89,80.51,84.73
